P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P004001,P004002,P004003,NAME,state,county,tract
4254,2748,300,6,469,0,513,218,4254,3633,621,"Census Tract 1, Suffolk County, Massachusetts",25,025,000100
3854,2918,276,8,327,2,209,114,3854,3447,407,"Census Tract 2.01, Suffolk County, Massachusetts",25,025,000201
3885,2620,330,17,527,1,270,120,3885,3289,596,"Census Tract 2.02, Suffolk County, Massachusetts",25,025,000202
2740,2150,131,6,298,0,84,71,2740,2550,190,"Census Tract 3.01, Suffolk County, Massachusetts",25,025,000301
3142,2472,96,2,453,0,56,63,3142,2913,229,"Census Tract 3.02, Suffolk County, Massachusetts",25,025,000302
5672,4244,144,6,1032,1,117,128,5672,5385,287,"Census Tract 4.01, Suffolk County, Massachusetts",25,025,000401
3648,2863,72,0,544,2,73,94,3648,3459,189,"Census Tract 4.02, Suffolk County, Massachusetts",25,025,000402
6303,5026,286,8,707,2,107,167,6303,5857,446,"Census Tract 5.02, Suffolk County, Massachusetts",25,025,000502
2211,1798,57,3,265,0,37,51,2211,2115,96,"Census Tract 5.03, Suffolk County, Massachusetts",25,025,000503
4985,4057,191,5,541,3,83,105,4985,4667,318,"Census Tract 5.04, Suffolk County, Massachusetts",25,025,000504
3571,2645,94,2,541,0,189,100,3571,3283,288,"Census Tract 6.01, Suffolk County, Massachusetts",25,025,000601
3974,2401,476,14,637,3,287,156,3974,3333,641,"Census Tract 6.02, Suffolk County, Massachusetts",25,025,000602
4446,3226,198,8,730,4,151,129,4446,4113,333,"Census Tract 7.01, Suffolk County, Massachusetts",25,025,000701
2791,1821,93,3,672,1,99,102,2791,2609,182,"Census Tract 7.03, Suffolk County, Massachusetts",25,025,000703
4801,3209,317,13,879,5,229,149,4801,4226,575,"Census Tract 7.04, Suffolk County, Massachusetts",25,025,000704
8136,4965,359,22,1572,3,846,369,8136,6670,1466,"Census Tract 8.02, Suffolk County, Massachusetts",25,025,000802
6584,4333,405,10,1415,1,133,287,6584,6008,576,"Census Tract 8.03, Suffolk County, Massachusetts",25,025,000803
4569,2800,148,5,1338,0,85,193,4569,4222,347,"Census Tract 101.03, Suffolk County, Massachusetts",25,025,010103
4804,3439,129,10,974,0,86,166,4804,4395,409,"Census Tract 101.04, Suffolk County, Massachusetts",25,025,010104
