year,tract,Article_Count
2018.0,020302,54.0
2018.0,030300,961.0
2018.0,000502,49.0
2018.0,070101,60.0
2018.0,090901,37.0
2018.0,981300,15.0
2018.0,010203,184.0
2018.0,020303,285.0
2018.0,110607,2.0
2018.0,081800,2.0
2018.0,081001,18.0
2018.0,000402,3.0
2018.0,020301,20.0
2018.0,980101,3.0
2018.0,981800,4.0
2018.0,010600,17.0
2018.0,081700,22.0
2018.0,040300,10.0
2018.0,040600,6.0
2018.0,010103,16.0
2018.0,080401,5.0
2018.0,010405,7.0
2018.0,990101,4.0
2018.0,110401,1.0
2018.0,981700,35.0
2018.0,040401,2.0
2018.0,060600,24.0
2018.0,071101,9.0
2018.0,981501,8.0
2018.0,140202,4.0
2018.0,010300,27.0
2018.0,070300,16.0
2018.0,061200,22.0
2018.0,110103,1.0
2018.0,080601,4.0
2018.0,070200,12.0
2018.0,000803,17.0
2018.0,030400,2.0
2018.0,010500,2.0
2018.0,090400,3.0
2018.0,010404,9.0
2018.0,980300,3.0
2018.0,101102,3.0
2018.0,070800,2.0
2018.0,080100,6.0
2018.0,091001,3.0
2018.0,092200,3.0
2018.0,092101,1.0
2018.0,010702,16.0
2018.0,070900,2.0
2018.0,981502,3.0
2018.0,120105,1.0
2018.0,000802,10.0
2018.0,100800,7.0
2018.0,050901,2.0
2018.0,010104,1.0
2018.0,040801,2.0
2018.0,000302,1.0
2018.0,010701,8.0
2018.0,130402,3.0
2018.0,092400,1.0
2018.0,070500,7.0
2018.0,051101,1.0
2018.0,030200,5.0
2018.0,120400,3.0
2018.0,082000,3.0
2018.0,091200,4.0
2018.0,080900,1.0
2018.0,120301,3.0
2018.0,070700,3.0
2018.0,000504,2.0
2018.0,981202,9.0
2018.0,081200,1.0
2018.0,060501,3.0
2018.0,082100,1.0
2018.0,092000,5.0
2018.0,071201,5.0
2018.0,981000,2.0
2018.0,140102,2.0
2018.0,090700,3.0
2018.0,090200,1.0
2018.0,091900,2.0
2018.0,160200,3.0
2018.0,010802,1.0
2018.0,000100,8.0
2018.0,091500,1.0
2018.0,000301,1.0
2018.0,120700,4.0
2018.0,100500,2.0
2018.0,040200,1.0
2018.0,000601,3.0
2018.0,091400,1.0
2018.0,130404,2.0
2018.0,060700,1.0
2018.0,160101,2.0
2018.0,030500,1.0
2018.0,060301,1.0
2018.0,040100,1.0
2018.0,100700,1.0
2018.0,010204,4.0
2018.0,120201,3.0
2018.0,110403,1.0
2018.0,120600,1.0
2018.0,050300,1.0
2018.0,160400,2.0
2018.0,070402,1.0
2018.0,000602,1.0
2018.0,170502,2.0
2018.0,000703,1.0
2018.0,100603,1.0
2018.0,020101,2.0
2018.0,120103,1.0
2018.0,140201,1.0
2018.0,070600,1.0
2018.0,101001,1.0
2018.0,091700,3.0
2018.0,120500,1.0
2018.0,100300,1.0
2018.0,090600,1.0
2018.0,170601,1.0
2018.0,110501,1.0
2018.0,050600,1.0
2018.0,140300,2.0
2018.0,981201,1.0
2018.0,080801,1.0
2018.0,100900,1.0
2018.0,091300,1.0
,000201,1.0
,000202,1.0
,000401,1.0
,000503,1.0
,000701,1.0
,000704,1.0
,010403,1.0
,010408,1.0
,010801,1.0
,020200,1.0
,030100,1.0
,050101,1.0
,050200,1.0
,050400,1.0
,050500,1.0
,050700,1.0
,051000,1.0
,051200,1.0
,060101,1.0
,060200,1.0
,060400,1.0
,060800,1.0
,061000,1.0
,061101,1.0
,080300,1.0
,080500,1.0
,081100,1.0
,081300,1.0
,081400,1.0
,081500,1.0
,081900,1.0
,090100,1.0
,090300,1.0
,091100,1.0
,091600,1.0
,091800,1.0
,092300,1.0
,100100,1.0
,100200,1.0
,100400,1.0
,100601,1.0
,101002,1.0
,101101,1.0
,110201,1.0
,110301,1.0
,110502,1.0
,110601,1.0
,120104,1.0
,130100,1.0
,130200,1.0
,130300,1.0
,130406,1.0
,140105,1.0
,140106,1.0
,140107,1.0
,140400,1.0
,160300,1.0
,160501,1.0
,160502,1.0
,160601,1.0
,160602,1.0
,170100,1.0
,170200,1.0
,170300,1.0
,170400,1.0
,170501,1.0
,170701,1.0
,170702,1.0
,170800,1.0
,180101,1.0
,180200,1.0
,180301,1.0
,180400,1.0
,180500,1.0
,980700,1.0
,981100,1.0
,981600,1.0
