year,position_section,position_subsection,longitude,latitude,Tracts,Article_Count,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race,Sentiment,Mean_Sentiment_Section,Mean_Sentiment_Neighborhood
2011.0,NEWS,Metro,-70.891007,42.5034847,204101.0,,,,,,,,,0.12254609587942923,0.07509478025706524,
2011.0,REGIONAL,North,-70.891007,42.5034847,204101.0,,,,,,,,,0.08222290640394089,0.12469640500210913,
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04243421052631579,0.094946888416397,0.09506276721477683
2011.0,LIVING ARTS,Travel,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.30476190476190473,0.12640508814478393,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.05000000000000001,0.07509478025706524,0.09506276721477683
2011.0,G,Living Arts,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.21753757816257818,0.12350816867258994,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08222222222222222,0.09460843926508344,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.05935029999999,42.3602242,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13922558922558922,0.094946888416397,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12033730158730162,0.07509478025706524,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14501748251748253,0.09460843926508344,0.09506276721477683
2011.0,REGIONAL,North,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09892727272727277,0.12469640500210913,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09207958707958709,0.07509478025706524,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04958359101216244,0.12469640500210913,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04942881192881192,0.07509478025706524,0.09506276721477683
2011.0,EDITORIAL OPINION,Editorial,-71.0561981,42.3587684,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04570889619082391,0.094946888416397,0.09506276721477683
2011.0,NEWS,Metro,-71.057993,42.360406,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.054502164502164496,0.07509478025706524,0.09506276721477683
2011.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.025921409214092143,0.094946888416397,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.037000000000000005,0.07509478025706524,0.09506276721477683
2011.0,G,Living Arts,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0031680440771349864,0.12350816867258994,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.022549019607843147,0.12469640500210913,0.09506276721477683
2011.0,NEWS,Metro,-71.057716,42.35807,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06150594288752184,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.19715007215007213,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04631111111111112,0.07509478025706524,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.010436958874458876,0.09460843926508344,0.09506276721477683
2011.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0013963963963963956,0.094946888416397,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0561981,42.3587684,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.03715230536659109,0.09460843926508344,0.09506276721477683
2011.0,G,Living Arts,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.17270723104056437,0.12350816867258994,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14918176784455853,0.094946888416397,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.2041251384274639,0.094946888416397,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.006104761904761908,0.07509478025706524,0.09506276721477683
2011.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.17502497502497505,0.094946888416397,0.09506276721477683
2011.0,REGIONAL,West,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07673881673881676,0.12469640500210913,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.2892255892255892,0.12469640500210913,0.09506276721477683
2011.0,REGIONAL,North,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.17314832689832693,0.12469640500210913,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07655855983724838,0.094946888416397,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.01736772917005475,0.09460843926508344,0.09506276721477683
2011.0,MAGAZINE,unknown,-71.0502554,42.3562236,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.27823654333088293,0.15529302490183902,0.09506276721477683
2011.0,NEWS,Metro,-71.057993,42.360406,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10191350551520043,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.057716,42.35807,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.05701357466063348,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.05333804143126175,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.015373376623376619,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14431818181818182,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06734897873290731,0.07509478025706524,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09853764122056805,0.094946888416397,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08021284271284272,0.07509478025706524,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09751239099065186,0.094946888416397,0.09506276721477683
2011.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10724386724386724,0.10521489058524704,0.09506276721477683
2011.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.03254285714285713,0.094946888416397,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.057993,42.360406,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09615452773347508,0.094946888416397,0.09506276721477683
2011.0,G,Living Arts,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13251950899977222,0.12350816867258994,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1055268243661101,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.057993,42.360406,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.034374999999999996,0.07509478025706524,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.05010868980360507,0.12469640500210913,0.09506276721477683
2011.0,REGIONAL,North,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13263618326118326,0.12469640500210913,0.09506276721477683
2011.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.18766056083220267,0.10521489058524704,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.011395202020202019,0.07509478025706524,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1013548951048951,0.12469640500210913,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.034899999999999994,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.05439814814814815,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09372620435120436,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1755688417273783,0.07509478025706524,0.09506276721477683
2011.0,MAGAZINE,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06799251674251675,0.15529302490183902,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06681184668989547,0.07509478025706524,0.09506276721477683
2011.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.11873806453593688,0.094946888416397,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.17023809523809524,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.06218849999999,42.3609295,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.21002445085778423,0.07509478025706524,0.09506276721477683
2011.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0734308582189938,0.07509478025706524,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.006250000000000002,0.12469640500210913,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0625,0.09460843926508344,0.09506276721477683
2011.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.23324579831932782,0.10521489058524704,0.09506276721477683
2011.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10280175264550263,0.12469640500210913,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.2271699134199134,0.09460843926508344,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06128087598675833,0.09460843926508344,0.09506276721477683
2011.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12705627705627706,0.10521489058524704,0.09506276721477683
2011.0,G,Living Arts,-71.05935029999999,42.3602242,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0,0.12350816867258994,0.09506276721477683
2011.0,NEWS,Metro,-71.0611924,42.3591924,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09134502923976609,0.07509478025706524,0.09506276721477683
2011.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08651742993848256,0.09460843926508344,0.09506276721477683
2011.0,G,Living Arts,-71.0588801,42.3600825,30300.0,1263.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.000614439324116743,0.12350816867258994,0.09506276721477683
