year,position_section,position_subsection,longitude,latitude,Tract,Article_Count,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race,Sentiment,Mean_Sentiment_Section,Mean_Sentiment_Neighborhood
2016.0,MAGAZINE,unknown,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.08863636363636365,0.11947133181260178,0.09133452403768899
2016.0,NEWS,Metro,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.09617883379247011,0.08129181244789048,0.09133452403768899
2016.0,BUSINESS,unknown,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.11979347041847041,0.08800779749390043,0.09133452403768899
2016.0,REGIONAL,West,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.1144618807118807,0.1441442778211467,0.09133452403768899
2016.0,BUSINESS,unknown,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.0915634545829351,0.08800779749390043,0.09133452403768899
2016.0,BUSINESS,unknown,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,-0.027083333333333334,0.08800779749390043,0.09133452403768899
2016.0,EDITORIAL OPINION,Opinion,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.032458733678245866,0.11113457546032023,0.09133452403768899
2016.0,BUSINESS,unknown,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.061118048618048634,0.08800779749390043,0.09133452403768899
2016.0,SUNDAY,Ideas,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.11229619290366956,0.14032958758027947,0.09133452403768899
2016.0,REGIONAL,West,-71.0201972,42.3665992,981300.0,17.0,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino,0.1144618807118807,0.1441442778211467,0.09133452403768899
