year,position_section,position_subsection,longitude,latitude,Tracts,Article_Count,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race,Sentiment,Mean_Sentiment_Section,Mean_Sentiment_Neighborhood
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10619787463007803,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.25893043737871324,0.08594949258270718,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.19431818181818183,0.10119303581935035,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.19431818181818183,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.04761904761904762,0.08594949258270718,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0795909090909091,0.09943620169128142,0.1007632982007263
2015.0,NEWS,Metro,-71.0600255,42.3591696,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10730519480519482,0.08594949258270718,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1286178107606679,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1845868205868206,0.08594949258270718,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07842189500640205,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.121875,0.08594949258270718,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.07566137566137567,0.09943620169128142,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.05606775300171526,0.10119303581935035,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13992094861660082,0.10119303581935035,0.1007632982007263
2015.0,SUNDAY,Travel,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.18239161336176257,0.144761115125766,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06398601398601397,0.08594949258270718,0.1007632982007263
2015.0,LIVING ARTS,Food,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.2179673721340388,0.11539784080384456,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.22000000000000003,0.08594949258270718,0.1007632982007263
2015.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07460461760461762,0.10169976721733437,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0892490118577075,0.10119303581935035,0.1007632982007263
2015.0,REALESTATE,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.22697336561743345,0.16150954876186477,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06758021390374332,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.026176948051948038,0.08594949258270718,0.1007632982007263
2015.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.16472061888728554,0.11539784080384456,0.1007632982007263
2015.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07624025974025975,0.11539784080384456,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.029519331243469178,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.16473876698014625,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.11000957854406132,0.08594949258270718,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13852813852813853,0.09943620169128142,0.1007632982007263
2015.0,EDITORIAL OPINION,Editorial,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10669462481962483,0.10169976721733437,0.1007632982007263
2015.0,LIVING ARTS,Food,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14629584363626918,0.11539784080384456,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09343711843711844,0.10119303581935035,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09775076549466795,0.10119303581935035,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.026757030232639974,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1382275132275132,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13737824675324675,0.08594949258270718,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1362726098191214,0.09943620169128142,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10113636363636364,0.10119303581935035,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.18212121212121213,0.09943620169128142,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0600255,42.3591696,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04861406270497182,0.10119303581935035,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0927073827073827,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.27466666666666667,0.08594949258270718,0.1007632982007263
2015.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07875494071146247,0.14017554234249452,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08359477124183007,0.09943620169128142,0.1007632982007263
2015.0,SUNDAY,Travel,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10954786532911534,0.144761115125766,0.1007632982007263
2015.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.16716495310245308,0.11539784080384456,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.005957446808510648,0.09943620169128142,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.03402116402116402,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.0561981,42.3587684,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0869360902255639,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.057716,42.35807,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06876380690017053,0.08594949258270718,0.1007632982007263
2015.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1202821869488536,0.10119303581935035,0.1007632982007263
2015.0,NEWS,Metro,-71.057993,42.360406,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07860644257703081,0.08594949258270718,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.17214285714285715,0.08594949258270718,0.1007632982007263
2015.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06129255879255878,0.09943620169128142,0.1007632982007263
2015.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09262360446570972,0.08594949258270718,0.1007632982007263
2015.0,EDITORIAL OPINION,Editorial,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14315711462450592,0.10169976721733437,0.1007632982007263
2015.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.04722222222222222,0.11539784080384456,0.1007632982007263
2015.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13545048701298704,0.10169976721733437,0.1007632982007263
2015.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,1023.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.030555555555555558,0.10169976721733437,0.1007632982007263
