geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
250250703001010,178,Bay Village,33,49,5,2507000
250250703001011,178,Bay Village,33,201,143,2507000
250250703001012,178,Bay Village,33,324,235,2507000
250250703001013,178,Bay Village,33,0,0,2507000
250250703001014,178,Bay Village,33,5,5,2507000
250250703001015,178,Bay Village,33,0,0,2507000
250250703002000,178,Bay Village,33,0,0,2507000
250250703002001,178,Bay Village,33,0,0,2507000
250250703002002,178,Bay Village,33,6,3,2507000
250250703002003,178,Bay Village,33,38,26,2507000
250250703002004,178,Bay Village,33,45,25,2507000
250250703002005,178,Bay Village,33,103,70,2507000
250250703002006,178,Bay Village,33,91,60,2507000
250250703002007,178,Bay Village,33,35,23,2507000
250250703002008,178,Bay Village,33,173,111,2507000
250250703002009,178,Bay Village,33,0,0,2507000
250250703002010,178,Bay Village,33,56,34,2507000
250250703002011,178,Bay Village,33,34,18,2507000
250250703002012,178,Bay Village,33,130,65,2507000
250250703002013,178,Bay Village,33,21,13,2507000
250250703002014,178,Bay Village,33,1,1,2507000
250250703003000,178,Bay Village,33,0,0,2507000
250250703003001,178,Bay Village,33,0,0,2507000
250250703003002,178,Bay Village,33,0,0,2507000
250250701011022,179,Leather District,27,0,0,2507000
250250701011023,179,Leather District,27,0,0,2507000
250250701011024,179,Leather District,27,0,0,2507000
250250701011025,179,Leather District,27,117,86,2507000
250250701011026,179,Leather District,27,34,0,2507000
250250701011028,179,Leather District,27,116,65,2507000
250250701011031,179,Leather District,27,89,53,2507000
250250701011040,179,Leather District,27,0,0,2507000
250250701011041,179,Leather District,27,0,0,2507000
250250701011042,179,Leather District,27,0,0,2507000
250250701011043,179,Leather District,27,0,0,2507000
250250701011044,179,Leather District,27,0,0,2507000
250250701011045,179,Leather District,27,54,32,2507000
250250701011046,179,Leather District,27,71,40,2507000
250250701011047,179,Leather District,27,46,23,2507000
250250701011048,179,Leather District,27,12,8,2507000
250250701011049,179,Leather District,27,100,70,2507000
250251101032000,174,Roslindale,15,254,94,2507000
250251101032001,174,Roslindale,15,87,26,2507000
250251101032002,174,Roslindale,15,89,27,2507000
250251101032003,174,Roslindale,15,303,110,2507000
250251101033016,174,Roslindale,15,38,15,2507000
250251101033017,174,Roslindale,15,26,11,2507000
250251101033018,174,Roslindale,15,211,84,2507000
250251101033019,174,Roslindale,15,73,22,2507000
250251101033020,174,Roslindale,15,66,28,2507000
250251101037000,174,Roslindale,15,227,75,2507000
250251101037001,174,Roslindale,15,172,58,2507000
250251101037002,174,Roslindale,15,263,99,2507000
250251101037003,174,Roslindale,15,90,33,2507000
250251101037004,174,Roslindale,15,111,39,2507000
250251102011000,174,Roslindale,15,166,73,2507000
250251102011001,174,Roslindale,15,91,30,2507000
250251102011002,174,Roslindale,15,27,9,2507000
250251102011003,174,Roslindale,15,89,29,2507000
250251102011004,174,Roslindale,15,163,69,2507000
250251102011005,174,Roslindale,15,113,34,2507000
250251102011006,174,Roslindale,15,0,0,2507000
250251102011007,174,Roslindale,15,64,21,2507000
250251102011008,174,Roslindale,15,54,23,2507000
250251102011009,174,Roslindale,15,82,30,2507000
250251102011010,174,Roslindale,15,6,6,2507000
250251102011011,174,Roslindale,15,3,1,2507000
250251102011012,174,Roslindale,15,82,34,2507000
250251102011013,174,Roslindale,15,126,61,2507000
250251102011014,174,Roslindale,15,16,5,2507000
250251102011015,174,Roslindale,15,50,19,2507000
250251102011016,174,Roslindale,15,9,5,2507000
250251102011017,174,Roslindale,15,117,49,2507000
250251102011018,174,Roslindale,15,87,42,2507000
250251102011019,174,Roslindale,15,139,77,2507000
250251102011020,174,Roslindale,15,106,48,2507000
250251102011021,174,Roslindale,15,364,174,2507000
250251102011022,174,Roslindale,15,97,35,2507000
250251103011000,174,Roslindale,15,48,20,2507000
250251103011001,174,Roslindale,15,430,148,2507000
250251103011002,174,Roslindale,15,0,0,2507000
250251103011003,174,Roslindale,15,0,0,2507000
250251103011004,174,Roslindale,15,0,0,2507000
250251103011005,174,Roslindale,15,51,24,2507000
250251103011006,174,Roslindale,15,74,16,2507000
250251103011007,174,Roslindale,15,124,43,2507000
250251103011008,174,Roslindale,15,0,0,2507000
250251103011009,174,Roslindale,15,0,0,2507000
250251103011010,174,Roslindale,15,0,0,2507000
250251103011011,174,Roslindale,15,0,0,2507000
250251103011012,174,Roslindale,15,160,62,2507000
250251103011013,174,Roslindale,15,31,11,2507000
250251103011014,174,Roslindale,15,28,11,2507000
250251103011015,174,Roslindale,15,91,33,2507000
250251103011016,174,Roslindale,15,0,0,2507000
250251103011017,174,Roslindale,15,97,35,2507000
250251104011000,174,Roslindale,15,85,43,2507000
250251104011001,174,Roslindale,15,636,230,2507000
250251104011002,174,Roslindale,15,215,79,2507000
250251104011003,174,Roslindale,15,345,111,2507000
250251104011004,174,Roslindale,15,353,125,2507000
250251104011005,174,Roslindale,15,173,69,2507000
250251104011006,174,Roslindale,15,95,28,2507000
250251104011007,174,Roslindale,15,109,48,2507000
250251104012000,174,Roslindale,15,237,104,2507000
250251104012001,174,Roslindale,15,24,12,2507000
250251104012002,174,Roslindale,15,74,29,2507000
250251104012003,174,Roslindale,15,78,31,2507000
250251104012004,174,Roslindale,15,53,24,2507000
250251104012005,174,Roslindale,15,75,33,2507000
250251104012006,174,Roslindale,15,44,20,2507000
250251104012007,174,Roslindale,15,109,44,2507000
250251104012008,174,Roslindale,15,59,22,2507000
250251104012009,174,Roslindale,15,16,9,2507000
250251104012010,174,Roslindale,15,51,25,2507000
250251104012011,174,Roslindale,15,92,25,2507000
250251104012012,174,Roslindale,15,74,32,2507000
250251104012013,174,Roslindale,15,65,29,2507000
250251104012014,174,Roslindale,15,59,26,2507000
250251104012015,174,Roslindale,15,208,72,2507000
250251104012016,174,Roslindale,15,62,23,2507000
250251104012017,174,Roslindale,15,41,18,2507000
250251104012018,174,Roslindale,15,134,51,2507000
250251104012019,174,Roslindale,15,0,0,2507000
250251104031000,174,Roslindale,15,36,14,2507000
250251104031001,174,Roslindale,15,49,21,2507000
250251104031002,174,Roslindale,15,134,58,2507000
250251104031003,174,Roslindale,15,41,22,2507000
250251104031004,174,Roslindale,15,18,4,2507000
250251104031005,174,Roslindale,15,264,107,2507000
250251104031006,174,Roslindale,15,246,155,2507000
250251104031007,174,Roslindale,15,117,45,2507000
250251104032000,174,Roslindale,15,256,93,2507000
250251104032001,174,Roslindale,15,33,17,2507000
250251104032002,174,Roslindale,15,67,27,2507000
250251104032003,174,Roslindale,15,162,70,2507000
250251104032004,174,Roslindale,15,84,35,2507000
250251104032005,174,Roslindale,15,95,40,2507000
250251104032006,174,Roslindale,15,28,11,2507000
250251104032007,174,Roslindale,15,58,21,2507000
250251104033000,174,Roslindale,15,420,165,2507000
250251104033001,174,Roslindale,15,53,18,2507000
250251104033002,174,Roslindale,15,39,20,2507000
250251104033003,174,Roslindale,15,58,21,2507000
250251104033004,174,Roslindale,15,87,34,2507000
250251104034000,174,Roslindale,15,114,43,2507000
250251104034001,174,Roslindale,15,218,91,2507000
250251104034002,174,Roslindale,15,59,20,2507000
250251104034003,174,Roslindale,15,49,20,2507000
250251104034004,174,Roslindale,15,308,116,2507000
250251104034005,174,Roslindale,15,57,21,2507000
250251104034006,174,Roslindale,15,43,20,2507000
250251104034007,174,Roslindale,15,127,46,2507000
250251104034008,174,Roslindale,15,0,0,2507000
250251104035000,174,Roslindale,15,276,121,2507000
250251104035001,174,Roslindale,15,326,125,2507000
250251104035002,174,Roslindale,15,241,89,2507000
250251104035003,174,Roslindale,15,71,25,2507000
250251104035004,174,Roslindale,15,26,11,2507000
250251104035005,174,Roslindale,15,49,21,2507000
250251105011000,174,Roslindale,15,120,48,2507000
250251105011001,174,Roslindale,15,80,39,2507000
250251105011002,174,Roslindale,15,85,43,2507000
250251105011003,174,Roslindale,15,174,68,2507000
250251105011004,174,Roslindale,15,84,37,2507000
250251105011005,174,Roslindale,15,77,35,2507000
250251105011006,174,Roslindale,15,49,21,2507000
250251105011007,174,Roslindale,15,69,29,2507000
250251105011008,174,Roslindale,15,96,40,2507000
250251105011009,174,Roslindale,15,15,7,2507000
250251105012000,174,Roslindale,15,59,25,2507000
250251105012001,174,Roslindale,15,56,22,2507000
250251105012002,174,Roslindale,15,64,25,2507000
250251105012003,174,Roslindale,15,127,55,2507000
250251105012004,174,Roslindale,15,58,31,2507000
250251105012005,174,Roslindale,15,87,32,2507000
250251105012006,174,Roslindale,15,68,37,2507000
250251105012007,174,Roslindale,15,60,27,2507000
250251105012008,174,Roslindale,15,40,16,2507000
250251105012009,174,Roslindale,15,42,15,2507000
250251105012010,174,Roslindale,15,27,14,2507000
250251105012011,174,Roslindale,15,45,15,2507000
250251105012012,174,Roslindale,15,38,15,2507000
250251105012013,174,Roslindale,15,0,0,2507000
250251105012014,174,Roslindale,15,62,29,2507000
250251105012015,174,Roslindale,15,93,41,2507000
250251105012016,174,Roslindale,15,60,24,2507000
250251105012017,174,Roslindale,15,106,42,2507000
250251105012018,174,Roslindale,15,109,42,2507000
250251105012019,174,Roslindale,15,33,16,2507000
250251105012020,174,Roslindale,15,95,33,2507000
250251105012021,174,Roslindale,15,99,43,2507000
250251105012022,174,Roslindale,15,0,0,2507000
250251105012023,174,Roslindale,15,0,0,2507000
250251105012024,174,Roslindale,15,70,32,2507000
250251105013000,174,Roslindale,15,41,21,2507000
250251105013001,174,Roslindale,15,116,50,2507000
250251105013002,174,Roslindale,15,139,49,2507000
250251105013003,174,Roslindale,15,146,64,2507000
250251105013004,174,Roslindale,15,98,46,2507000
250251105013005,174,Roslindale,15,11,5,2507000
250251105013006,174,Roslindale,15,124,55,2507000
250251105013007,174,Roslindale,15,123,42,2507000
250251105013008,174,Roslindale,15,71,28,2507000
250251105013009,174,Roslindale,15,0,0,2507000
250251105013010,174,Roslindale,15,0,0,2507000
250251105013011,174,Roslindale,15,37,13,2507000
250251105021000,174,Roslindale,15,0,0,2507000
250251105021001,174,Roslindale,15,11,13,2507000
250251105021002,174,Roslindale,15,0,0,2507000
250251105021003,174,Roslindale,15,90,37,2507000
250251105021004,174,Roslindale,15,92,36,2507000
250251105021005,174,Roslindale,15,50,24,2507000
250251105021006,174,Roslindale,15,118,45,2507000
250251105021007,174,Roslindale,15,162,66,2507000
250251105021008,174,Roslindale,15,130,57,2507000
250251105021009,174,Roslindale,15,92,40,2507000
250251105021010,174,Roslindale,15,59,31,2507000
250251105021011,174,Roslindale,15,43,25,2507000
