hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
ruling may aid tsarnaev appeal,NEWS,Metro,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
long life long on deeds,NEWS,Metro,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
post massacre gun makers stocks surge,BUSINESS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
post massacre gun makers stocks surge,BUSINESS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
25 students ill after eating at chipotle,NEWS,Metro,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sarkisian sues usc for $12.6m,SPORTS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
baker bill would streamline oversight of municipalities,NEWS,Metro,unknown,2015.0,-71.0600255,42.3591696,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cell squeezing technique gets new funding,BUSINESS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
police seek help in unsolved andover slayings,NEWS,Metro,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
study says pay plans don aid mentally ill,BUSINESS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
safe spaces envisioned for online purchases,NEWS,Metro,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sickness forces bc to cancel men basketball practice,SPORTS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mgh parent expands again,BUSINESS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
like taxis uber cars might soon show ads,BUSINESS,unknown,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the stuff of ferry tales,SUNDAY,Travel,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1023.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
