hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
duke 93 bc 82,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
upgraded planetarium reopens in brockton,REGIONAL,South,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
world of ambition,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
wcvb wmur are back on directv,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
english classes on the clock,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
getting away from it all nearby,REGIONAL,West,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
why ants swap spit,SUNDAY,Ideas,By Kelly Kasulis,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
out of chaos comes order,REGIONAL,South,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bird sightings,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
blind date elizabeth warren and mexican food are the way to my heart,MAGAZINE,unknown,unknown,2017.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
lehane goes gangster,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
duke withstands late push by bc,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
badge of dishonor,NEWS,Metro,By Yvonne Abraham,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bad habit productions to bring down the curtain,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
