hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
restore us manufacturing some assembly required.,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
jackson calls for transparency from mayor on us labor probe,NEWS,Metro,unknown,2017.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
wizards 123 celtics 108,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sunshine state could benefit from move to solar power,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
thursday nibs,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mayor seeks proposals to include coffee shop in renovations of the city hall lobby,NEWS,Metro,unknown,2017.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
snow expected throughout state,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
$20m discovery started at restaurant ended in bed,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
rabbi finds faith in diversity,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
amazon planning 2nd mass. bookstore,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
single mom wants son to have magical holiday,NEWS,Metro,unknown,2017.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
third district hopefuls lining up,NEWS,Metro,By Globe Staff,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
finding the right clinician is vital for those battling opioids,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
contractors suing state over back pay benefits,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ryan zinke missteps on ivory and everything else,EDITORIAL OPINION,Editorial,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
she an eagle for life,NEWS,Metro,By Kevin Cullen,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state pension fund chief gets 9% salary hike,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
pat purcell service to boston,EDITORIAL OPINION,Opinion,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new start times for hub schools what price disruption,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
darkness at almost noon our annual journey through the days of waning sunlight or it 11 p.m. do you know where your daylight went,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
let all unite over division bell,LIVING ARTS,unknown,unknown,2017.0,-71.0502554,42.3562236,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
gun bill that heightens the threat of gun violence,EDITORIAL OPINION,Opinion,By Martin J. Walsh and William Evans,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
governor honors officers who captured fugitive,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for bald eagles it homecoming weekend,SUNDAY,Travel,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ge revenue falls amid persistent oil slump,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
children to be trial site for duchenne drug,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
president of boston teamsters local to lead ups contract talks,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
city ought to do more for struggling taxi drivers,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
chen skates to record start,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
invoking dr. king marchers voice plea for justice,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
medals honored,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
senator speaks truth to power,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
jury completed for hernandez double murder trial,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
comparing the bay state to global incarceration rates,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
biogen profit beats the analyst estimates,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cathedral tops st. mary,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
home prices hit record sellers are still scarce,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
feast of kinship around the tonir,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
three charged with insider trading involving ariad shares,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the left health care rhetoric is unhinged,EDITORIAL OPINION,Opinion,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
online cremation service operations suspended,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
thinking big about boston public schools,EDITORIAL OPINION,Opinion,By Martin J. Walsh,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
time machine,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
nhl standings,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hanley has fun with manchester clips,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ryan (3 tds) falcons fly high,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
physical game ends in draw,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new program targets children of opioid addicts,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
record falls after 35 years,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hidden figures rises affleck scorsese flop,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
toast to chef bruce at wine fest kickoff,LIVING ARTS,unknown,unknown,2017.0,-71.0503695,42.3561918,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that sweater you return might end up in australia,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
expired vacant seats irk boards,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
police see strength in puerto rico,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
$13.3m settlement proposed in oil spill,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
pope francis draws line on death penalty,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0601779,42.3597362,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
thinking outside the mold,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
power of choice,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
while tick numbers uncertain risk is not,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the joke was on trump,NEWS,Metro,unknown,2017.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
eastern standard,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
as car wrecks rise insurance rates follow,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state street surveying investors on brexit,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
n.h. drywall company agrees to unionize amid labor investigations,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ag vows strong defense of state assault weapons ban,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bills ask legislature to target drug prices,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
familiar story,BUSINESS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
eugenie fitzhugh 91 was court stenographer teacher,NEWS,Metro,unknown,2017.0,-71.0589415,42.3590875,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
storm carves wet swath across state,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cheryl fiandaca joins wbz tv channel,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
finding love before gps,REALESTATE,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
randolph weighs marijuana facility,REGIONAL,South,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
lifting the veil on mass moca expansion,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
showcase for an israeli playwright confronting oppression,LIVING ARTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state police reform must come from within,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
nassar case shows systemic problem,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cutting the fat at last,NEWS,Metro,By Yvonne Abraham,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tax credit is valuable to the poor,EDITORIAL OPINION,Letters,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
at last of cheers,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bagpipes provide season soundtrack,NEWS,Metro,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
lost in translation,SUNDAY,Travel,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
chess notes weekly problem,NEWS,Metro,By Chris Chase,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hanover wins first state title,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
not mere throw ins,SPORTS,unknown,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,952.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
