hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
out of chaos candidate shouting to be heard,NEWS,Metro,unknown,2018.0,-71.10973349999999,42.3736158,353700.0,,,,,,,,,,,,,,,,,,,,
olympian standards debatable,SPORTS,unknown,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
gonzalez targets colleges to pay for his proposals,EDITORIAL OPINION,Letters,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
after #metoo college students wonder what does consent mean exactly,MAGAZINE,unknown,By Brooke Knisley,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
push to curb er visits could be prescription for trouble,EDITORIAL OPINION,Letters,unknown,2018.0,-71.10973349999999,42.3736158,353700.0,,,,,,,,,,,,,,,,,,,,
undocumented immigrants hard to track,NEWS,Metro,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
conditions align for super blood wolf moon on jan. 21,NEWS,Metro,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
the ambitions of seth moulton,EDITORIAL OPINION,Opinion,By Richard North Patterson,2018.0,-71.1160649,42.374896,353700.0,,,,,,,,,,,,,,,,,,,,
chemists offer peek behind the curtain,BUSINESS,unknown,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
gonzalez floats taxing colleges,NEWS,Metro,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
gonzalez ivy piggy bank,EDITORIAL OPINION,Opinion,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
zoning reform an issue that hits us where we live,EDITORIAL OPINION,Letters,unknown,2018.0,-71.10973349999999,42.3736158,353700.0,,,,,,,,,,,,,,,,,,,,
dukakis wants international accord on ai,BUSINESS,unknown,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
time machine,NEWS,Metro,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
letters to the editor of the globe magazine,MAGAZINE,unknown,unknown,2018.0,-71.10973349999999,42.3736158,353700.0,,,,,,,,,,,,,,,,,,,,
remarkable items from camelot for sale,NEWS,Metro,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
in color in the stacks in cambridge,LIVING ARTS,unknown,unknown,2018.0,-71.11071660000002,42.3741209,353700.0,,,,,,,,,,,,,,,,,,,,
what terms were googled the most in 2018 answers below.,LIVING ARTS,unknown,unknown,2018.0,-71.10973349999999,42.3736158,353700.0,,,,,,,,,,,,,,,,,,,,
on journey to help others,BUSINESS,unknown,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
gonzalez calls for state to tax richest colleges,NEWS,Metro,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
campus angle,REGIONAL,West,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
swiss company sets up us headquarters in boston,BUSINESS,unknown,unknown,2018.0,-71.10973349999999,42.3736158,353700.0,,,,,,,,,,,,,,,,,,,,
racism by any other name is still racism,EDITORIAL OPINION,Opinion,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
in toronto first look at first man,LIVING ARTS,unknown,unknown,2018.0,-71.1182488,42.3744368,353700.0,,,,,,,,,,,,,,,,,,,,
