hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tract,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
top places new englanders like to go in winter,MAGAZINE,unknown,By Marisa Dellatto,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
new england in brief,NEWS,Metro,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
test your mass. history smarts,BUSINESS,unknown,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
still rolling along,REGIONAL,West,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
international terminal size an issue,BUSINESS,unknown,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
american science and engineering bought,BUSINESS,unknown,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
kudos to the bpd for cracking down on loud motorcycles,EDITORIAL OPINION,Opinion,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
thanks for everything boston,BUSINESS,unknown,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
can big labor retool for the age of trump,SUNDAY,Ideas,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
still rolling along,REGIONAL,West,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
fix airport security screening there no time to wait,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0201972,42.3665992,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
international terminal size an issue,BUSINESS,unknown,unknown,2016.0,-71.00955809999999,42.3656154,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
us laureate can wait to dive back into poetry,LIVING ARTS,unknown,unknown,2016.0,-71.00955809999999,42.3656154,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
storm should bring high winds little rain,NEWS,Metro,unknown,2016.0,-71.00955809999999,42.3656154,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
airlines urged to halt bag fees for summer,BUSINESS,unknown,unknown,2016.0,-71.00955809999999,42.3656154,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
proposed ride service law does disservice to all,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.01078319999999,42.3653985,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
lobbying dollars flow on ride hailing,NEWS,Metro,unknown,2016.0,-71.01078319999999,42.3653985,981300.0,389.0,315.0,13.0,4.0,31.0,1.0,10.0,15.0,389.0,318.0,71.0,17.0,T_White alone,East Boston,15760.0,1403.0,21700.0,1932.0,2271.0,Hispanic or Latino
home design with art in mind,SUNDAY,Travel,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the wonders of piano wire resounding at city hall,LIVING ARTS,unknown,unknown,2016.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
star is born at sea,SUNDAY,Travel,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
wellesley stunt draws apparent apology,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
letters to the editor of globe magazine,MAGAZINE,unknown,unknown,2016.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
advice dealing with conversation hijackers (you know the type),MAGAZINE,unknown,By Robin Abrahams,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
terry mcginnis,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
casino gamble,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
big ride offers big challenges bigger rewards,LIVING ARTS,unknown,unknown,2016.0,-71.0546914,42.3596515,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
baker approves $63.6m for life sciences,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
making homeless families lives more stable,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.062193,42.359595,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mewis still on the move,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
suspect drew gun after agreeing to talk to police,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tv and radio highlights for sept. 20,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
one third of young adults living at home,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
two sides to debate cage free egg ballot issue,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
addazio wants team to get back to basics,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
industry sectors don see eye to eye on candidates,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
f. gorham brigham jr. 101 indefatigable banking executive,NEWS,Metro,unknown,2016.0,-71.0583671,42.3585498,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
