hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tract,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
jazz pianist spot at the corner of history and what new,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
healthy respect for the physicality of rugby,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
this day in history,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
free small craft beer brewers,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
time of change in the church,REGIONAL,North,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
catching up with,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
critical care critical care,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
stojo,REGIONAL,North,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sticking points,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for depaola long eventful ride ends,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bruins sabres,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
italian seafood at its best,REGIONAL,North,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
up for grabs,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
boston entrepreneurs take on gopro,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
putting early education front and center in massachusetts,BUSINESS,unknown,unknown,2016.0,-71.05754,42.3569827,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
nuggets turn back wizards,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
comedian kirkman boston roots run deep,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
boston adopt the community preservation act,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0582731,42.3603082,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
council approves 29% raise for detectives,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ferri fights through pneumonia opponent to win title,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
this clash is not how taxpayer wants his money spent,EDITORIAL OPINION,Letters,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
rainy with chance of clouds!,SUNDAY,Ideas,By Eric Fisher,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
compelling article diminished by shock value presentation,EDITORIAL OPINION,Letters,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cable competition heats up,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sjc weighs decision by judge in drug court,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
letters to the editor of the globe magazine,MAGAZINE,unknown,unknown,2016.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
curran making his mark,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
braintree private school leader arrested in sex trafficking case,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
keeping teen moms in school,EDITORIAL OPINION,Opinion,By Jessica Lander,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
scientists reveal game changer planet discovery,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
warmth by the wharf,LIVING ARTS,unknown,unknown,2016.0,-71.0513553,42.3593857,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
gaming panel considers question,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
political scrum boots football at local pubs,NEWS,Metro,unknown,2016.0,-71.0590624,42.3604802,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
diversity gap in state legislature persists,NEWS,Metro,unknown,2016.0,-71.0546708,42.3592001,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
roberto sanchez,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
wayfair a&e team on home improvement show,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
wish children will feel the magic,NEWS,Metro,unknown,2016.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state dept. should call un to account in haiti,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
couple tied to outbreak get fines probation,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
dunkin donuts to roll out new deals,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
jean bell at 89 cofounded restorative justice program,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
fretwork kicks off bemf 27th season,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cabbies suit over uber is dismissed,BUSINESS,unknown,unknown,2016.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
city only catholic high school for girls closing,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
essay wins teen trip to uzbekistan,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
charlie wake up the gop needs you,EDITORIAL OPINION,Opinion,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the ticket theater,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
father voices heartache over loss,NEWS,Metro,unknown,2016.0,-71.0571259,42.3616626,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
police ordered to alter hiring process,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
noteworthy,REGIONAL,South,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that ll be three ronpaulcoins,SUNDAY,Ideas,unknown,2014.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that ll be three ronpaulcoins,SUNDAY,Ideas,unknown,2015.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that ll be three ronpaulcoins,SUNDAY,Ideas,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that ll be three ronpaulcoins,SUNDAY,Ideas,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that ll be three ronpaulcoins,SUNDAY,Ideas,unknown,2017.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
that ll be three ronpaulcoins,SUNDAY,Ideas,unknown,2018.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new rules may aid housing crackdown,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
toast payments startup raises $30m,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
drink in summer scene at ocean edge beach bar,SUNDAY,Travel,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
stein courts supporters of sanders,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
baker signs bill to curb opioids,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
