hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
letters to the arts editor,LIVING ARTS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
landlord is fined for discriminatory ad,REGIONAL,North,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
carbon tax initiative dropped for 2014,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
gop senate candidates err in rejecting people pledge,EDITORIAL OPINION,Editorial,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
things look golden for pie makers,LIVING ARTS,Food,unknown,2013.0,-71.0575375,42.3616719,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
all clear,LIVING ARTS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
umass 77 fordham 73,SPORTS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
at exhibit other artists serve as muse,REGIONAL,West,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
parish moves front and center,SPORTS,unknown,unknown,2013.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
giant fish feasting on sea jellies,NEWS,Metro,unknown,2013.0,-71.0491475,42.3592478,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cartoon caption contest,REGIONAL,South,unknown,2013.0,-71.0561428,42.3580401,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
job hunt from distance poses challenges,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
states tracking of drugs blasted,NEWS,Metro,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
connolly walsh woo tech sector,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sedative use drops at nursing homes,NEWS,Metro,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
boston scientificreaches deal with us,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
boston scientificreaches deal with us,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
not as easy as all that,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
massachusetts puts boys girls on same playing field,REGIONAL,North,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ex official calls schilling suit political,BUSINESS,unknown,unknown,2013.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,970.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
