hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
bans on smoking adopted by more mass. universities,NEWS,Metro,unknown,2011.0,-70.891007,42.5034847,204101.0,,,,,,,,,,,,,,,,,,,,
agganis classic marks its 50th anniversary,REGIONAL,North,unknown,2011.0,-70.891007,42.5034847,204101.0,,,,,,,,,,,,,,,,,,,,
stop the public griping about judge,EDITORIAL OPINION,Opinion,By John R. Salsberg,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
jacob would love to cook up loving family future,LIVING ARTS,Travel,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
foul play feared in case of missing girl,NEWS,Metro,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
99 bottles amber ambrosia,G,Living Arts,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
workers balk at earlier black friday openings,BUSINESS,unknown,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
food trucks serving up jobs,EDITORIAL OPINION,Opinion,unknown,2011.0,-71.05935029999999,42.3602242,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
clearing the tunnel vision,NEWS,Metro,Brian McGrory,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
storms strike cost verizonup to $250m,BUSINESS,unknown,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
giant snowbanks lead to accidents parking complications,REGIONAL,North,Peter DeMarco,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
justices uphold funeral protests,NEWS,Metro,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
towns seek cohesion in redistricting,REGIONAL,South,unknown,2011.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,1263.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
