hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
the right match,NEWS,Metro,unknown,2012.0,-71.1053743,42.2622886,140400.0,7650.0,1028.0,5683.0,58.0,73.0,4.0,520.0,284.0,7650.0,6421.0,1229.0,2.0,T_Black or African American alone,Roslindale,14014.0,5784.0,7255.0,987.0,1546.0,White alone
priest asks cardinal to delay mergers,NEWS,Metro,unknown,2012.0,-71.1196871,42.2739309,140400.0,7650.0,1028.0,5683.0,58.0,73.0,4.0,520.0,284.0,7650.0,6421.0,1229.0,2.0,T_Black or African American alone,Roslindale,14014.0,5784.0,7255.0,987.0,1546.0,White alone
orange are on the way,SPORTS,College,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
pierce may be one of the highest five,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
by teaming up 76ers gave themselves shot,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
jazz thumbnails,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins left with nothing,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ruling sends wave of relief through mass.,NEWS,Metro,unknown,2012.0,-71.0609772,42.3638828,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
wanted point guard to spell rondo,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
capitals like their chances,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
allowing an empty netter,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
allen agrees to deal with heat,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins ink exelby for one year,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics lose another,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
family time,NEWS,Metro,unknown,2012.0,-71.0612773,42.3629707,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
lack of rebounds grabs his attention,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
their backbone thomas bounces back,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rondo closer to returning,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
poor decisions prove very costly,SPORTS,unknown,Kevin Paul Dupont,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
begging for representation,EDITORIAL OPINION,Editorial,unknown,2012.0,-71.0605212,42.3641054,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
critic corner,LIVING ARTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
teammates left in awe,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sharks are his specialty,LIVING ARTS,unknown,unknown,2012.0,-71.058908,42.366367,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
that (struggling) 70s show,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rivers guarding allen long shot,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
milner shows mastery in net,SPORTS,College,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
turco stumbles in his first start,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
the local heroes of battlefield america,LIVING ARTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
on offense it garnett move,SPORTS,unknown,unknown,2012.0,-71.0622295,42.3661864,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rondo (triple double) and strong 3d quarter help celtics beat miami,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins lacking in shellacking,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
day is serious about the,LIVING ARTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
standing ovations for returning perkins,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
horton is doubtful,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
garnett late scratch with sore hip,SPORTS,unknown,unknown,2012.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
court backs lenders in home seizure case,BUSINESS,unknown,unknown,2012.0,-71.06154200000002,42.362962,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,183.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
