hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tract,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
bruins lightning,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics stop wizards end losing streak,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
minnesota iced,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins wild,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
irving to sit out few games down stretch,SPORTS,College,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
76ers 118 celtics 115,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics starters warm to task,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
olynyk struggling in reduced role,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
center fall added to summer league team,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins select beecher big center at no. 30 in draft,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
on parts of mass. coast red tide halts shellfish harvesting,NEWS,Metro,unknown,2019.0,-71.058908,42.366367,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
the blame for celtics struggle stevens has earned his share,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sixers thumbnails,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
primeau huskies stay in spotlight,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
perfect timing,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
hayward progress remains slow,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
time for rookie check up,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
suns thumbnails,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
langford injures ankle in red claws game,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics win streak ends against kings,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
kings 100 celtics 99,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sjc tells courts to record hearings,NEWS,Metro,unknown,2019.0,-71.06154200000002,42.3629615,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bieber watches bruins eliminate his beloved leafs at the garden,LIVING ARTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 118 raptors 102,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
lords leaping,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
walker shows off his game,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics now realize collective effort may go long way,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics pick up pace get past raptors,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 112 raptors 106,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
theis back as celtics bolster frontcourt,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
cavaliers thumbnails,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
irving may be only celtics all star,SPORTS,College,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
team still reaching for higher level,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
maple leafs bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
mcavoy enjoying the roller coaster,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins blues,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rollins says she used not accurate information,NEWS,Metro,unknown,2019.0,-71.0612773,42.3629707,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sidelined heinsohn on the way back,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins vaakanainen is making strides,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
hand it to them,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
senators bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
adam sandler and kevin garnett get big welcome at premiere of uncut gems in boston,LIVING ARTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
big dreams realized when fall met kg,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 110 cavaliers 88,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blue jackets bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blue jackets bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blue jackets bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blue jackets bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics near walker deal,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
on the air,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins rangers,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
owning up to problems,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rookies step up for celtics,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
banners sports bar opens near td garden,BUSINESS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
tatum brown lead celtics victory,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics have too much for nuggets,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 108 nuggets 95,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
maple leafs still confident,SPORTS,unknown,unknown,2019.0,-71.0622295,42.3661864,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
plucky bruins force game,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins maple leafs,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
strength came from the bench,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics finish strong again to oust pacers,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
debrusk gets inside scoop,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
krug defensemen formidable in game,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 135 pacers 108,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
change in net may change canes game,SPORTS,unknown,unknown,2019.0,-71.0607941,42.3648137,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rask padding his reputation,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blues bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins tripped up by blues in game now face elimination,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sharp respects rask bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
late non call stole the show,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 118 pistons 110,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ducks thumbnails,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
tnt respect is key for celtics,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ex duck wagner has stuck in boston,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
nhl standings,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bjork out months,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 122 grizzlies 116,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
pivotal payday could define future of young defenseman pivotal payday for young defenseman,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rangers bruins,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 113 hawks 105,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
in past injury would have been worse,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics fight back in win over hawks,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins lose rask game to rangers,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ferry expands options for some,NEWS,Metro,unknown,2019.0,-71.06197399999999,42.3664424,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
at 16 doncic raised eyebrows,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics work together to get drop on dallas,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics 114 mavericks 93,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
golden knights thumbnails,SPORTS,unknown,unknown,2019.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
advocacy key for parents in need and kids in peril,EDITORIAL OPINION,Letters,unknown,2019.0,-71.0613374,42.36365240000001,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins sharks,SPORTS,unknown,unknown,2019.0,-71.0622295,42.3661864,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,345.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
